City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,kavaratti,10.5669,72.642,28.18,78,99,8.3,IN,1689535994
260,sept-iles,50.2001,-66.3821,20.29,95,100,2.57,CA,1689535994
261,zahedan,29.4963,60.8629,31.95,12,0,3.09,IR,1689535995
262,kayyerkan,69.3786,87.7439,5.72,100,99,3.43,RU,1689535995
263,xilin hot,43.9667,116.0333,17.57,55,2,2.31,CN,1689535995
264,buulobarde,3.8538,45.5674,23.82,77,57,8.66,SO,1689535996
265,mariental,-24.6333,17.9667,16.36,26,0,3.71,NA,1689535996
266,lihue,21.9789,-159.3672,27.77,67,75,6.17,US,1689535997
267,pine ridge,28.9383,-82.4734,29.5,89,0,0.0,US,1689535997
268,port douglas,-16.4833,145.4667,21.88,78,92,7.08,AU,1689535997
269,wulingyuan,29.3494,110.5441,21.04,87,0,1.09,CN,1689535998
270,tokar,18.4254,37.729,38.37,27,2,8.85,SD,1689535998
271,saint-augustin-de-desmaures,46.7406,-71.4513,22.67,98,100,4.12,CA,1689535861
272,floro,61.5996,5.0328,15.98,77,75,12.86,NO,1689535999
273,guercif,34.2257,-3.3536,32.26,24,0,6.38,MA,1689535999
274,margate,51.3813,1.3862,17.95,65,100,4.92,GB,1689536000
275,kuqa,41.7278,82.9364,30.58,21,10,3.25,CN,1689536000
276,holualoa,19.6228,-155.9522,25.86,75,20,3.09,US,1689536001
277,salahonda,2.1019,-78.7217,28.01,78,44,5.23,CO,1689536001
278,portland,45.5234,-122.6762,31.24,40,40,4.12,US,1689535820
279,lerwick,60.1545,-1.1494,14.0,93,67,5.35,GB,1689536002
280,cooma,-36.2333,149.1333,1.29,93,0,1.21,AU,1689536002
281,sirte,31.2089,16.5887,26.74,80,0,3.82,LY,1689536003
282,ngereklmadel,7.4883,134.4856,26.05,89,75,2.06,PW,1689536003
283,garoowe,8.4054,48.4845,29.35,38,30,9.25,SO,1689536004
284,phan rang-thap cham,11.5667,108.9833,26.55,75,99,3.21,VN,1689536004
285,colonia menno,-22.3667,-59.8167,18.58,48,100,2.94,PY,1689536004
286,la roda,39.2167,-2.15,32.73,54,17,6.56,ES,1689536005
287,inongo,-1.95,18.2667,24.57,54,13,0.95,CD,1689536005
288,klyuchi,52.2667,79.1667,15.41,81,7,3.59,RU,1689536006
289,yeppoon,-23.1333,150.7333,15.88,85,86,5.92,AU,1689536006
290,uzgen,40.7699,73.3007,27.16,27,96,1.75,KG,1689536007
291,labrador city,52.9463,-66.9114,23.95,53,40,4.12,CA,1689536007
292,glace bay,46.1969,-59.957,29.25,68,75,5.66,CA,1689536008
293,sao joao da barra,-21.6403,-41.0511,27.05,81,52,6.47,BR,1689536008
294,trincomalee,8.5711,81.2335,28.21,74,92,7.61,LK,1689536008
295,palmer,42.1584,-72.3287,25.35,85,75,3.6,US,1689535948
296,dunkirk,51.05,2.3667,18.38,37,100,0.89,FR,1689536009
297,okap,19.7578,-72.2042,30.97,66,40,8.75,HT,1689535737
298,singaraja,-8.112,115.0882,24.1,77,47,2.41,ID,1689536010
299,korsakov,46.6328,142.7813,11.91,91,100,3.46,RU,1689536010
300,zubova polyana,54.0771,42.8372,15.4,90,99,3.7,RU,1689536011
301,kushiro,42.975,144.3747,16.01,95,99,0.87,JP,1689536011
302,makokou,0.5738,12.8642,23.07,86,74,0.43,GA,1689536011
303,karratha,-20.7377,116.8463,17.6,35,4,4.88,AU,1689536012
304,ayacucho,-13.1583,-74.2239,22.92,25,20,1.03,PE,1689535927
305,mejit,10.2753,170.8646,27.8,77,99,5.23,MH,1689536012
306,chonchi,-42.6128,-73.8092,7.29,65,6,2.02,CL,1689536013
307,celestun,20.8667,-90.4,32.07,62,29,6.65,MX,1689536013
308,sisimiut,66.9395,-53.6735,7.26,93,100,2.34,GL,1689536013
309,sao pedro do sul,-29.6206,-54.1789,14.36,77,25,2.49,BR,1689536014
310,saint-denis,48.9167,2.3333,23.27,54,0,4.63,FR,1689536014
311,igarka,67.4667,86.5833,3.63,85,34,2.69,RU,1689536014
312,saudarkrokur,65.7461,-19.6394,7.6,77,49,6.07,IS,1689536015
313,sao felix do xingu,-6.6447,-51.995,34.72,29,36,0.69,BR,1689535867
314,west end,26.6833,-78.9667,29.99,70,100,3.77,BS,1689536015
315,luorong,24.4058,109.6086,27.01,64,86,4.66,CN,1689536016
316,lishui,28.4604,119.9103,24.36,97,85,1.26,CN,1689536016
317,hasaki,35.7333,140.8333,25.22,86,85,0.86,JP,1689536016
318,bodaybo,57.8506,114.1933,13.48,85,0,1.31,RU,1689536017
319,turinsk,58.0458,63.696,13.18,78,39,2.56,RU,1689536017
320,agat village,13.3886,144.6585,26.52,91,40,2.57,GU,1689536018
321,kolonia,50.9333,6.95,22.75,44,0,4.12,DE,1689535802
322,lautoka,-17.6167,177.4667,18.92,88,20,2.06,FJ,1689536018
323,la ronge,55.1001,-105.2842,19.12,52,100,2.57,CA,1689536019
324,magdagachi,53.45,125.8,16.83,73,16,0.59,RU,1689536019
325,cabo san lucas,22.8909,-109.9124,34.78,70,20,3.6,MX,1689535828
326,taourirt,34.4073,-2.8973,29.91,28,0,2.52,MA,1689536020
327,saint-joseph,-21.3667,55.6167,22.21,84,39,6.3,RE,1689536020
328,xiaoweizhai,26.1903,107.5125,20.13,80,19,2.88,CN,1689536020
329,byron bay,-28.65,153.6167,13.17,88,38,4.03,AU,1689535737
330,katy wroclawskie,51.031,16.7677,24.3,73,0,1.54,PL,1689536021
331,yung shue wan,22.2333,114.1167,28.75,81,100,15.23,HK,1689536026
332,holtville,32.8112,-115.3803,41.93,29,0,2.06,US,1689536027
333,sao bento,-6.2833,-37.75,30.04,29,15,3.5,BR,1689536027
334,korla,41.7597,86.1469,32.74,17,3,5.13,CN,1689536027
335,usinsk,65.9939,57.5281,19.24,52,100,4.61,RU,1689536028
336,ouargaye,11.5033,0.0572,30.15,56,40,3.05,BF,1689536028
337,bel ombre,-4.6167,55.4167,25.91,83,40,5.66,SC,1689536028
338,kisangani,0.5167,25.2,24.75,66,61,0.79,CD,1689536029
339,greenville,35.6127,-77.3663,32.29,68,40,3.09,US,1689536029
340,san pedro de ycuamandiyu,-24.0917,-57.0764,18.75,55,98,1.24,PY,1689536030
